,xmin,ymin,xmax,ymax,image,labels
0,79,105,109,142,maksssksksss0.png,2
1,185,100,226,144,maksssksksss0.png,1
2,325,90,360,141,maksssksksss0.png,2
3,321,34,354,69,maksssksksss1.png,1
4,224,38,261,73,maksssksksss1.png,1
5,299,58,315,81,maksssksksss1.png,1
6,143,74,174,115,maksssksksss1.png,1
7,74,69,95,99,maksssksksss1.png,1
8,191,67,221,93,maksssksksss1.png,1
9,21,73,44,93,maksssksksss1.png,1
10,369,70,398,99,maksssksksss1.png,1
11,83,56,111,89,maksssksksss1.png,2
12,98,267,194,383,maksssksksss10.png,1
13,189,30,245,88,maksssksksss100.png,1
14,387,54,400,75,maksssksksss100.png,1
15,118,87,163,126,maksssksksss100.png,1
16,48,294,164,400,maksssksksss101.png,1
17,212,57,251,106,maksssksksss102.png,1
18,42,54,94,110,maksssksksss103.png,1
19,188,46,236,106,maksssksksss103.png,1
20,261,88,303,130,maksssksksss103.png,1
21,368,112,400,151,maksssksksss103.png,1
22,42,109,66,140,maksssksksss104.png,2
23,2,105,22,125,maksssksksss104.png,2
24,30,88,46,105,maksssksksss104.png,2
25,133,108,174,152,maksssksksss104.png,1
26,221,101,256,139,maksssksksss104.png,1
27,304,131,331,158,maksssksksss104.png,2
28,83,85,96,96,maksssksksss104.png,2
29,167,91,180,108,maksssksksss104.png,2
30,178,143,213,202,maksssksksss105.png,1
31,280,103,312,145,maksssksksss105.png,1
32,320,79,352,119,maksssksksss105.png,1
33,365,53,390,84,maksssksksss105.png,1
34,243,36,267,67,maksssksksss105.png,1
35,115,47,146,87,maksssksksss105.png,1
36,33,88,65,131,maksssksksss105.png,1
37,29,202,65,265,maksssksksss105.png,1
38,26,34,52,66,maksssksksss105.png,1
39,154,51,423,391,maksssksksss106.png,1
40,121,192,212,312,maksssksksss107.png,1
41,155,29,180,51,maksssksksss108.png,1
42,206,35,228,58,maksssksksss108.png,1
43,332,67,346,81,maksssksksss108.png,1
44,362,68,376,82,maksssksksss108.png,1
45,267,72,278,83,maksssksksss108.png,2
46,216,92,372,251,maksssksksss109.png,1
47,23,114,77,172,maksssksksss11.png,0
48,147,157,200,211,maksssksksss11.png,1
49,201,191,230,234,maksssksksss11.png,1
50,243,192,293,247,maksssksksss11.png,1
51,309,182,346,224,maksssksksss11.png,1
52,249,108,276,140,maksssksksss11.png,1
53,275,99,303,128,maksssksksss11.png,1
54,195,90,214,113,maksssksksss11.png,1
55,214,76,237,99,maksssksksss11.png,1
56,232,50,247,67,maksssksksss11.png,1
57,266,45,281,61,maksssksksss11.png,1
58,207,47,222,63,maksssksksss11.png,1
59,227,36,239,48,maksssksksss11.png,1
60,253,33,267,45,maksssksksss11.png,1
61,290,31,304,41,maksssksksss11.png,1
62,362,32,372,40,maksssksksss11.png,1
63,6,111,43,148,maksssksksss110.png,2
64,22,20,49,46,maksssksksss110.png,2
65,48,12,70,37,maksssksksss110.png,1
66,113,1,136,24,maksssksksss110.png,1
67,78,17,106,46,maksssksksss110.png,2
68,97,66,115,86,maksssksksss110.png,2
69,70,111,104,145,maksssksksss110.png,2
70,42,157,85,186,maksssksksss110.png,2
71,59,205,111,264,maksssksksss110.png,1
72,116,155,172,198,maksssksksss110.png,2
73,112,85,149,118,maksssksksss110.png,2
74,124,27,153,47,maksssksksss110.png,2
75,163,29,189,53,maksssksksss110.png,2
76,186,18,215,44,maksssksksss110.png,1
77,178,77,214,111,maksssksksss110.png,1
78,216,57,241,84,maksssksksss110.png,2
79,237,15,268,46,maksssksksss110.png,2
80,281,19,308,40,maksssksksss110.png,2
81,286,60,311,84,maksssksksss110.png,2
82,253,94,293,135,maksssksksss110.png,1
83,236,161,273,195,maksssksksss110.png,2
84,282,194,322,232,maksssksksss110.png,1
85,314,115,350,152,maksssksksss110.png,1
86,335,27,359,52,maksssksksss110.png,2
87,381,14,401,34,maksssksksss110.png,2
88,356,72,385,98,maksssksksss110.png,1
89,17,182,35,202,maksssksksss111.png,1
90,17,101,25,116,maksssksksss111.png,1
91,48,98,61,113,maksssksksss111.png,1
92,17,127,27,144,maksssksksss111.png,2
93,5,133,14,152,maksssksksss111.png,2
94,109,59,132,82,maksssksksss111.png,1
95,140,64,161,85,maksssksksss111.png,1
96,184,68,207,93,maksssksksss111.png,1
97,248,73,267,95,maksssksksss111.png,1
98,291,65,314,90,maksssksksss111.png,1
99,383,96,397,110,maksssksksss111.png,1
100,383,125,398,145,maksssksksss111.png,2
101,90,84,138,131,maksssksksss112.png,0
102,133,108,148,124,maksssksksss113.png,1
103,203,117,214,131,maksssksksss113.png,1
104,294,115,308,130,maksssksksss113.png,1
105,228,119,241,134,maksssksksss113.png,2
106,4,83,75,161,maksssksksss114.png,2
107,80,58,153,141,maksssksksss114.png,1
108,24,67,47,91,maksssksksss115.png,1
109,79,91,103,112,maksssksksss115.png,1
110,109,80,128,101,maksssksksss115.png,1
111,137,88,159,110,maksssksksss115.png,1
112,179,107,205,134,maksssksksss115.png,1
113,254,105,278,128,maksssksksss115.png,1
114,221,78,244,100,maksssksksss115.png,1
115,172,86,183,107,maksssksksss115.png,1
116,185,85,209,104,maksssksksss115.png,1
117,116,88,150,122,maksssksksss116.png,1
118,160,79,193,118,maksssksksss116.png,1
119,235,43,272,87,maksssksksss116.png,1
120,304,68,336,102,maksssksksss116.png,1
121,379,61,399,96,maksssksksss116.png,1
122,131,224,227,346,maksssksksss117.png,1
123,138,79,176,116,maksssksksss118.png,1
124,217,70,255,107,maksssksksss118.png,1
125,54,92,82,120,maksssksksss119.png,1
126,132,47,153,71,maksssksksss119.png,1
127,242,94,268,125,maksssksksss119.png,1
128,254,51,266,64,maksssksksss119.png,1
129,263,79,275,92,maksssksksss119.png,1
130,302,81,330,107,maksssksksss119.png,2
131,352,45,377,67,maksssksksss119.png,2
