xmin,ymin,xmax,ymax,image,labels
79,105,109,142,maksssksksss0.png,2
185,100,226,144,maksssksksss0.png,1
325,90,360,141,maksssksksss0.png,2
321,34,354,69,maksssksksss1.png,1
224,38,261,73,maksssksksss1.png,1
299,58,315,81,maksssksksss1.png,1
143,74,174,115,maksssksksss1.png,1
74,69,95,99,maksssksksss1.png,1
191,67,221,93,maksssksksss1.png,1
21,73,44,93,maksssksksss1.png,1
369,70,398,99,maksssksksss1.png,1
83,56,111,89,maksssksksss1.png,2
98,267,194,383,maksssksksss10.png,1
189,30,245,88,maksssksksss100.png,1
387,54,400,75,maksssksksss100.png,1
118,87,163,126,maksssksksss100.png,1
48,294,164,400,maksssksksss101.png,1
212,57,251,106,maksssksksss102.png,1
42,54,94,110,maksssksksss103.png,1
188,46,236,106,maksssksksss103.png,1
261,88,303,130,maksssksksss103.png,1
368,112,400,151,maksssksksss103.png,1
42,109,66,140,maksssksksss104.png,2
2,105,22,125,maksssksksss104.png,2
30,88,46,105,maksssksksss104.png,2
133,108,174,152,maksssksksss104.png,1
221,101,256,139,maksssksksss104.png,1
304,131,331,158,maksssksksss104.png,2
83,85,96,96,maksssksksss104.png,2
167,91,180,108,maksssksksss104.png,2
178,143,213,202,maksssksksss105.png,1
280,103,312,145,maksssksksss105.png,1
320,79,352,119,maksssksksss105.png,1
365,53,390,84,maksssksksss105.png,1
243,36,267,67,maksssksksss105.png,1
115,47,146,87,maksssksksss105.png,1
33,88,65,131,maksssksksss105.png,1
29,202,65,265,maksssksksss105.png,1
26,34,52,66,maksssksksss105.png,1
154,51,423,391,maksssksksss106.png,1
121,192,212,312,maksssksksss107.png,1
155,29,180,51,maksssksksss108.png,1
206,35,228,58,maksssksksss108.png,1
332,67,346,81,maksssksksss108.png,1
362,68,376,82,maksssksksss108.png,1
267,72,278,83,maksssksksss108.png,2
216,92,372,251,maksssksksss109.png,1
23,114,77,172,maksssksksss11.png,0
147,157,200,211,maksssksksss11.png,1
201,191,230,234,maksssksksss11.png,1
243,192,293,247,maksssksksss11.png,1
309,182,346,224,maksssksksss11.png,1
249,108,276,140,maksssksksss11.png,1
275,99,303,128,maksssksksss11.png,1
195,90,214,113,maksssksksss11.png,1
214,76,237,99,maksssksksss11.png,1
232,50,247,67,maksssksksss11.png,1
266,45,281,61,maksssksksss11.png,1
207,47,222,63,maksssksksss11.png,1
227,36,239,48,maksssksksss11.png,1
253,33,267,45,maksssksksss11.png,1
290,31,304,41,maksssksksss11.png,1
